author,party,date,text,topic_tags,sentiment_tags
אופיר אקוניס,הליכוד,"9 במרץ 2019, 17:16","['מה אנחנו ל ה מדים ב בחירות ה אלה', 'ש אין שום דבר חדש תחת שמש ה שמאל', 'השבוע נציין את יום ה שנה ה 27 ל פטירתו של גדול מנהיגנו', 'מנחם בגין זל', 'כל חייו', 'ו ב ה יתר ש את', 'ב עת כהונתו כ ראש ה ממשלה ה שמאל לא בחל ב שום אמצעי כדי להשמיצו ו לגדפו', 'ו על ידי כך להביא ל הפלת ה ליכוד', 'הם קראו ל הוא רוצח', 'הם קראו ל הוא פאשיסט ומוסליני', 'כתבו ו אמרו ש הוא מסוכן ל ה דמוקרטיה', 'ש הוא מפלג את ה עם', 'הם מתגעגעים', 'דלגו ל ימינו אלה', 'ב ראש ה ליכוד עומד מנהיג חזק', 'כריזמטי ו אהוב על ה עם ב ה נימין נתניהו ו שוב', 'ה שמאל לא בוחל ב שום כלי כדי להפילו ו על ידי כך את ה ליכוד כולו', 'אנחנו לא נקנה שום תחפושת', 'של אף אחד ו לא נאמין ל שום אמירה של גנץ ו לפיד', 'משום אין ל הם שום אלטרנטיבה ו שום רעיון משותף', 'למעט שנאת ה ליכוד', 'ש נסו מותניכם', 'חיזקו רוחכם ו בואו לתת ל ה הם את ה תשובה ב ה קלפי', 'רק מחל']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 0, 0, 0, 0, 0, 2, 2]","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 2, 2, 2, 2, 2, 1, 1]"
איימן עודה,"חד""ש-תע""ל","8 במרץ 2019, 09:11","['חשיפת פרצופו של נתניהו ו ממשלתו ה כהניסטית מול ה עולם היא חובה', 'ה מאמר של אני הבוקר בניו יורק טיימס']","[2, 0]","[-1, 2]"
יעל גרמן,כחול לבן,"6 במרץ 2019, 06:00","['אצל נתניהו', 'סמוטריץ יהיה שר ה חינוך', 'ב חרתם נתניהו קיבלתם קיצוניים']","[2, 0, 2]","[0, 2, -1]"
משה יעלון,כחול לבן,"5 במרץ 2019, 10:11","['שסמוטריץ יהיה שר ה חינוך של ה ילדים ו ה נכדים ש לנו', 'ב חרתם נתניהו קיבלתם קיצוניים']","[0, 2]","[2, -1]"
משה יעלון,כחול לבן,"5 במרץ 2019, 09:32","['מיכאל בן ארי קורא ל סירוב פקודה ו פוגע ב ה צבא של כולנו ש הוא יהיה חבר ממשלה', 'ב חרתם נתניהו קיבלתם קיצוניים']","[0, 2]","[2, -1]"
עפר שלח,כחול לבן,"5 במרץ 2019, 08:49","['אצל נתניהו', 'בן ארי יקרא ל ה סירוב פקודה', 'ב חרתם נתניהו בחרתם קיצוניים']","[2, 0, 2]","[0, 2, -1]"
יולי - יואל אדלשטיין,הליכוד,"4 במרץ 2019, 20:01","['ימין אמיתי זה רק מחל', 'ליכוד חזק ל ישראל חזקה', 'ב נימין נתניהו']","[2, 2, 2]","[1, 1, 1]"
בנימין נתניהו,הליכוד,"4 במרץ 2019, 18:13","['רק ליכוד גדול ינצח את ה שמאל', 'הצטרפו ל נאום ראש ה ממשלה נתניהו ב כנס ה ליכוד']","[2, 2]","[1, 0]"
יואב בן צור,"ש""ס","4 במרץ 2019, 17:44","['מוקדם יותר ה יום התארחתי ב ה פאנל ב חירות ש התקיים ב תיכון הרצוג ב ה עיר חולון', 'שמחתי לפגוש גם ב בית ספר חילוני תומכים נלהבים של תנועת שס', 'אשר זוכרים את ה הישגים ה ברוכים ש הובלנו למען ה שכבות ה חלשות ו ה צביון ה יהודי של ישראל', 'כפי ש אמרתי תנועת שס תתמוך ב בנימין נתניהו ל תפקיד ראש ה ממשלה אך תהיה שומרת ה סף של ה צביון ה יהודי ו תבטיח עשייה חברתית למען ה שכבות ה חלשות ו כל עם ישראל']","[0, 0, 0, 2]","[2, 2, 2, 1]"
נפתלי בנט,הימין החדש,"4 במרץ 2019, 09:38","['עוד הודעה ריקה של ראש ה ממשלה נגד ה מחבלים', 'זוכרים ש לאחר ה רצח ה נורא של אורי אנסבכר זל', 'נתניהו שלח אנשים למדוד את בית ה מחבל לקראת הריסה', 'ו אז נתניהו הוציא שורה של הודעות ל ה עיתונות', 'אז עד ל רגע זה לא הוציא נתניהו צו הריסה ל בית ה רוצח של אורי זל', 'מה ש שמעתם', 'אדוני ראש ה ממשלה', 'תוציא כבר היום את צו ה הריסה', 'תפסיק לפחד מ ה מחבלים', 'אנחנו נגבה את אתה', 'רק תפעל למען ה שם']","[2, 0, 2, 2, 2, 0, 2, 2, 2, 2, 2]","[-1, 2, 0, 0, -1, 2, 0, -1, -1, 1, 0]"
גלעד ארדן,הליכוד,"2 במרץ 2019, 20:35","['פרסום כתב ה חשדות ב אופן חלקי ו חד צדדי לפני ה בחירות הוא טעות קשה ו פגיעה ב ה ציבור ו ב ה דמוקרטיה', 'ה פרסום מסיט את ה שיח מ מה ש חשוב ב אמת ה אם תהיה כאן ממשלת ימין חזקה ב ראשות נתניהו או ממשלת שמאל ב ראשות לפיד ו גנץ ש נשענת על אחמד טיבי', 'צפו ב ה דברים ש אמרתי הערב ל דנה וייס ו שתפו']","[2, 2, 0]","[0, 1, 2]"
אילן גילאון,מרצ,"2 במרץ 2019, 19:33","['הגענו ל כאן כדי להבהיר ל ראש ה ממשלה ש אין ל הוא מנדט מוסרי ו ערכי להמשיך ב תפקידו', 'עידן ה סיאוב ו ה שחיתות מגיע ל סיומו', 'כבר ראינו שאת ה מעשה ה מובן מאל הוא ש הוא לקחת אחריות ו להתפטר נתניהו לא יעשה', 'הוא הרי למען הישרדותו חתם על ה סכם עם ה עוצמה ה גזענית', 'אבל אנחנו לא ניתן ל הוא להתחמק', 'אנחנו נזכיר ל הוא פעם אחר פעם ש את זכותו להנהיג הוא איבד']","[2, 2, 2, 2, 2, 2]","[-1, -1, -1, -1, -1, -1]"
אופיר אקוניס,הליכוד,"2 במרץ 2019, 17:28","['ב ה חירות 2019', 'ביבי או טיבי', 'ראיתם את ה סקרים אתמול ב ה ערב', 'ל גוש ה שמאל', 'ב ראשות גנץ ו לפיד', 'יש כבר רוב חוסם של 61 חכים', 'כולל ה סיעות ה ערביות', 'אלא מה', 'הזהרתי מ זה כבר אתמול ו אז תומכי ה מפלגה של הם', 'נכנסו ל ה דף של אני גידפו', 'ש יקרו ו הכחישו', 'אבל אופס', 'יש מספרים', 'יש עובדות', 'ל ה כן יקיריי', 'ה מציאות פשוטה', 'מי ש רוצה ממשלה לאומית ב ה ראשות ב ה נימין נתניהו', 'מצביע אך ו רק מחל', 'מי ש רוצה ממשלת שמאל', 'ב תמיכת ה סיעות ה ערביות ש יצביע ל מפלגות ה שמאל', 'שבוע טוב מאוד ל אתם מ אולפן כאן רשת ב']","[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0]","[2, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 2, 2, 2]"
איילת שקד,הימין החדש,"2 במרץ 2019, 16:41","['גנץ ב יום חמישי', 'ב ה נסיבות ש נוצרו ישיבה עם נתניהו לא עומדת על ה פרק', 'לאחר ה בחירות', 'ו בהינתן ה תכנית ל הקמת פלסטין', 'ה נסיבות ישתנו', 'ו זה יעמוד על ה פרק', 'שבוע טוב']","[0, 2, 0, 0, 0, 0, 0]","[2, -1, 2, 2, 2, 2, 2]"
איימן עודה,"חד""ש-תע""ל","2 במרץ 2019, 07:41","['לו ה בחירות היו מתקיימות היום', 'נתניהו ו שריו ה גזענים היו מפסידים', 'ליברמן לא היה עובר את אחוז ה חסימה ש הוא בעצם הוא העלה', 'זה מה ש עולה ב צורה מובהקת מ סקר ערוץ 13', 'ה בחירות ב אפריל עומדות על חודו של קול', 'אנחנו נשים את כל משקלנו כדי להביס את מי ש חוקק את חוק ה לאום', 'חוק קמיניץ', 'הוציא מ חוץ ל ה חוק את ה פלג ה צפוני של ה תנועה ה איסלאמית', 'את מי ש הסית נגד אנחנו יותר מ כל', 'ו ש פועל על מנת לחסל את ה אפשרות להקים מדינה פלסטינית ו השגת שלום', 'ה בא נחזק את ה קול ה פטריוטי', 'ה קול ה אחראי', 'ה קול ה מקצועי', 'ה קול ש מצליח להשפיע', 'אנחנו יכולים']","[0, 2, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, -1, 2, 2, 2, -1, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
עמר בר-לב,העבודה,"1 במרץ 2019, 15:05","['מ בחינה מוסרית ו ערכית נתניהו לא יכול להמשיך ל ה היות ראש מ משל היא', 'זה היה נכון מ מזמן', 'ו זה נכון במיוחד עכשיו', 'כש יש כנגד הוא שלושה כתבי אישום קשים', 'צפו בדבריי אמש ב כ אן11 ו שתפו']","[2, 0, 0, 2, 0]","[-1, 2, 2, -1, 2]"
אופיר אקוניס,הליכוד,"1 במרץ 2019, 08:43","['נעשה את זה פשוט', 'אם אתם רוצים ממשלה ו קואליציה עם אחמד טיבי ו איימן עוד היא אל תצביעו ל ה ליכוד', 'אבל אם אתם רוצים ממשלה לאומית', 'חזקה ו יציבה כש גנץ', 'טיבי ו עודה ב ה אופוזיציה אז תצביעו רק ב פתק אחד', 'ה ליכוד ב ה ראשות נתניהו', 'ו שאף אחד לא יספר ל אתם סיפורים ו ישקר ל אתם ש הם לא יצרפו את ה סיעות ה ערביות ל ה קואליציה של הם', 'אין ל ה הם מ משל היא']","[0, 0, 2, 2, 0, 2, 0, 0]","[2, 2, 0, 0, 2, 0, 2, 2]"
מירי רגב,הליכוד,"1 במרץ 2019, 08:00","['חברות ו חברים יקרים', 'אני מאמינה ב אמונה שלמה ש לאחר ה שימוע כולם יבינו ש מדובר ב פייק תיקים', 'ראש ה ממשלה של אנחנו הוא אדם ישר', 'אל תושפעו מ ה כותרות ה מהדהדות ו ה זועקות ב כלי ה תקשורת', 'זה בדיוק מה ש הם לחצו לקבל במשך 3 שנים', 'זה בדיוק מה ש הם רוצים עכשיו', 'הפלת שלטון נתניהו ו שלטון ה ימין', 'ב 9 באפריל מצביעים ל ה ליכוד ב ראשות נתניהו ל ימין חזק ש ימשיך לדאוג ל ה אינטרסים של מדינת ישראל ו אזרחיה', 'האזינו ל ה ראיון ה מלא ש הענקתי הבוקר ל ניסים משעל ב ה רדיו ללא הפסקה']","[0, 2, 2, 0, 0, 0, 2, 2, 0]","[2, 1, 1, 2, 2, 2, 0, 1, 2]"
משה יעלון,כחול לבן,"28 בפברואר 2019, 20:09","['ב ה יום ה עצוב ה זה', 'ב הוא ראש ממשלת ישראל שני עומד בפני כתב אישום תוך כדי כהונתו אני רוצה דווקא להגיד משהו ב נימה אישית', 'אני מכיר את נתניהו שנים רבות', 'מול נתניהו של פעם עבדתי כ ה איש צבא', 'ל צידו של נתניהו של פעם עבדתי כ שר ה בטחון ו ש ירתתי את אתם ה אזרחים', 'נתניהו של פעם ו אני ניהלנו מ ערכה קשה כנגד ה אויב ב ה עזה', 'ו מ ערכות דיפלומטיות כ ה נגד איראן', 'בנימין נתניהו ש אני הכרתי הוא אדם מוכשר עם חזון ו תפיסת עולם', 'לנתניהו ש אני הכרתי היה באמת אכפת מ טובת ה מדינה', 'אבל לצערי ה רב', 'משהו השתבש מאוד ב ה דרך', 'את תוצאות ה שיבוש ה זה אנו רואים כ עת', 'ה שיח ה משסה ו ה מפלג', 'ה מאבק ל הישרדות פוליטית ב כל מחיר כולל חבירה ל ה כהניסטים', 'זה ראש ממשלת ישראל', 'ה אדם ש אמור להיות מופת ל ה ילדינו ו ל נכדינו', 'ב ה יום ה זה ברור כי הגיעה ה עת ב היא על נתניהו לעזוב את ה תפקיד', 'אם טובת ה מדינה עדיין לנגד עיניו על הוא לעשות את ש המליץ ל אולמרט להתפטר ו להילחם על חפותו', 'ב ה ניגוד ל מפלגת ה ליכוד', 'אנו לא נזמין את נתניהו ל היות שר ב ה ממשלה ש נקים', 'לא תחת כתבי אישום כה חמורים', 'אני פונה אל אתה', 'נתניהו של פעם', 'ו קורא ל אתה', 'אל תפגע ב ה ביטחון ישראל', 'ב ה חוסן ה לאומי ו ב ה צביון ה מוסרי של ה מדינה', 'אל תגרור מדינה שלמה לתוך כתבי ה אישום של אתה על כל ה השלכות ה כרוכות ב כך', 'ל אנשי ה ימין ה ממלכתי', 'ל מי ש חרד ל עתידה של ה מדינה גם מ בחינה בטחונית', 'מדינית ו כלכלית ו גם מ בחינה מוסרית היום ב ה יתר ש את ברורה ה בחירה ה נכונה', 'הגיע ה זמן ל מנהיגות אחרת', 'יחד עם שותפיי ב כ חול לבן נחזיר את אמון ה ציבור ב ה הנהגה ו את ה תקווה ל ה עם ישראל']","[0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 0, 2, 0]","[2, 0, 0, 0, 0, 0, 0, 1, 1, 0, -1, -1, -1, -1, 0, 0, -1, -1, 0, -1, -1, 0, 0, 0, -1, 0, -1, 0, 2, 2, -1, 2]"
מיכל רוזין,מרצ,"28 בפברואר 2019, 18:56","['זה ה שלב ש ב הוא נתניהו צריך להתחיל להוכיח את חפותו כ אזרח מן ה שורה', 'מגדל ה קלפים ה יחיד ש יקרוס הוא שרשרת ה כהונות של נתניהו ש כרסמו ב כל שבריר של שלטון ה חוק ו של ה ממלכתיות ש הייתה ל אנחנו ב ה מדינה', 'ה פאניקה מ אובדן ה שלטון ב ה עתיד יצרה אובדן עשתונות ב ה הווה ו את ה טירוף ה זה צריך לעצור לפני ש ישרוף את ה בית על אנחנו ו על הוא', 'ל ה ציבור ה ישראלי מגיע יותר מראש ממשלה ש דוחה נסיעה דיפלומטית כדי לסגור דיל עם כהניסטים ו חוזר מוקדם מ אותה ה נסיעה כדי להגיב על כתב אישום', 'בואו ל ה הפגנה ב ה מוצש ה קרוב ב כיכר ה בימה', 'ו ב כל רחבי ה ארץ']","[2, 2, 2, 2, 0, 0]","[-1, -1, -1, -1, 2, 2]"
איימן עודה,"חד""ש-תע""ל","28 בפברואר 2019, 18:50","['לפני מספר חודשים הרמתי ב ה פני נתניהו את ה שלט', 'נתניהו צריך להיכנס ל ה כלא בגין ה שחיתות', 'אך ערכית ו מוסרית ה היסטוריה תבוא את הוא חשבון על פשעיו ו ה סתתו ה פוליטיים', 'העלאת אחוז ה הצבעה בקרב ה ציבור של אנחנו ו ה כוחות ה דמוקרטיים אכן יכולים להביא ל הפלת שלטון נתניהו ב 9 באפריל', 'ב יחד יכולים']","[2, 2, 2, 2, 0]","[0, -1, -1, -1, 2]"
תמר זנדברג,מרצ,"28 בפברואר 2019, 17:40","['נתניהו מושחת', 'אבל ל ה פשע של הוא יש עוד שותפים ב ה מפלגה', 'נתניהו יעמוד ל משפט פלילי', 'אבל הם יעמדו ל משפט ה ציבור']","[2, 2, 2, 2]","[-1, -1, -1, 0]"
יולי - יואל אדלשטיין,הליכוד,"28 בפברואר 2019, 17:39","['מ כל סוג', 'אינם תחליף ל ה הרשעה ב מדינה דמוקרטית', 'על אנחנו לתת ל עובדות להתברר ב הליך הוגן ש מגיע ל ראש ממשלה כמו ל כל אזרח ב מדינת ישראל', 'פרסום הודעה על כתב אישום נגד ראש מפלגה 40 יום לפני בחירות מבלי לקיים שימוע', 'מהווה נזק ציבורי ו פוליטי בלתי הפיך לא רק ל הוא', 'אלא ל מפלגה שלמה ו ל ה ציבור ה בוחרים', 'אני בטוח ש אזרחי ישראל מבינים זאת היטב', 'בנימין נתניהו הוא מועמד תנועת ה ליכוד ל ראשות ה ממשלה ו ב ראשותו נמשיך ב כל ה כוח את מסע ה בחירות ב ה דרך ל ניצחון ה ליכוד ו הקמת גוש ימין חזק']","[0, 0, 2, 2, 2, 0, 0, 2]","[2, 2, 0, 0, 0, 2, 2, 1]"
אופיר אקוניס,הליכוד,"28 בפברואר 2019, 17:34","['אני הולך עם בנימין נתניהו', 'ב דרך פוליטית משותפת ל מעלה מ 20 שנה', 'ראיתי את הוא מקרוב גם כ ראש ממשלה גם כ ראש אופוזיציה', 'עבדתי את הוא כש איש לא האמין ב ניצחונו ב 96', 'ב ה ימים ה קשים ב משרד ה אוצר ו ב ה מפלה ה גדולה של בחירות 2006', 'ב ה עליות ו גם ב ה מורדות', 'ב ארבע ה שנים ה אחרונות אני מ כהן כשר ב ממשלתו ה רביעית', 'מנהיגותו ו הובלתו את מדינת ישראל', 'על כל ה מציאות ה מורכבת ש ב היא', 'מעוררת ה ערכה', 'ב כל ה עולם', 'כל נסיון לפגוע ב ה רצונכם לראות את הוא ראש ממשלה גם ב ה עתיד ייכשל', 'משום ש אנחנו חיים ב מדינה דמוקרטית ש ב היא אתם ו רק אתם תקבעו מי ימשיך להוביל את ישראל גם ב ארבע ה שנים ה קרובות', 'ב ה ראשות ב ה נימין נתניהו בנימין נתניהו']","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]"
מרב מיכאלי,העבודה,"28 בפברואר 2019, 17:15","['זה ה זמן ל ה גלות ל כןם ש ב ה עברית ה מילה כ לום פירושה דבר מה', 'אז מסתבר ש היה גם היה', 'ראש ה ממשלה ש לנו מ אשם ב ה שוחד', 'זכותו להלחם על חפותו', 'לא מ כסא ראש ה ממשלה ש לנו', 'נאחל ל הוא הצלחה ב מאבקו ה משפטי', 'אבל מ ראשות ה ממשלה נתניהו חייב ללכת']","[0, 0, 2, 2, 2, 2, 2]","[2, 2, -1, 0, -1, 1, -1]"
איציק שמולי,העבודה,"28 בפברואר 2019, 16:19","['תמו ה ספינים', 'נתניהו אמר ש לא יהיה כלום כי לא היה כלום ו עכשיו מתברר ש יש כתב אישום חמור כי בוצעו עבירות חמורות ש עלולות להוביל גם ל ה כלא', 'נתניהו שקוע ב ה פלילים עד צוואר ו איבד את ה תוקף ה מוסרי להמשיך ו להנהיג את מדינתו', 'ב כל החלטה ש יקבל מעתה יוטל צל כבד ביותר', 'אני קורא ל חבריי ישרי ה דרך ב ה ליכוד', 'ו יש כ ה אלה', 'להודות לנתניהו על שירותו ו לשחרר את הוא להתמודד עם ה מאבק ה קשה ש מצפה ל הוא מול ה עבירות ה חמורות ביותר', 'אני קורא גם ל שאר ראשי ה מפלגות להודיע ש לא יישבו עם הוא ב ממשלה ב שום צורה ו אופן', 'מי ש ניצל את מעמדו ה רם ל טובתו ה אישית על חשבון ה ציבור אינו ראוי להנהיג עוד את ישראל']","[2, 2, 2, 2, 2, 0, 2, 2, 2]","[-1, -1, -1, -1, 0, 2, -1, -1, -1]"
